"country","continent","landarea","agrpercent","spared","continentid","overflow"
"Republic of Moldova","Europe",3287,74.8,18.9,"europe",0
"Namibia","Africa",82329,47.1,26.3,"africa",0
"Nauru","Oceania",2,20,0,"oceania",0
"Nepal","Asia",14335,28.7,71.3,"asia",1
"Netherlands","Europe",3369,54.5,45.5,"europe",1
"Netherlands Antilles (former)","North America",80,10,39.3,"north-america",0
"New Caledonia","Oceania",1828,10.1,67.1,"oceania",0
"Macedonia","Europe",2522,50.1,49.9,"europe",1
"Vanuatu","Oceania",1219,15.3,-1.5,"oceania",0
"New Zealand","Oceania",26331,42.2,3.6,"oceania",0
"Nicaragua","North America",12034,42.1,11.6,"north-america",0
"Niger","Africa",126670,36.1,7.8,"africa",0
"Nigeria","Africa",91077,77.7,22.3,"africa",1
"Niue","Oceania",26,19.2,0,"oceania",0
"Norfolk Island","Oceania",4,25,0,"oceania",0
"Norway","Europe",36524.5,2.7,4.8,"europe",0
"Northern Mariana Islands","Oceania",46,6.5,0,"oceania",0
"Pakistan","Asia",77088,47,53,"asia",1
"Panama","North America",7434,30.4,10.5,"north-america",0
"Czechia","Europe",7722,54.6,38.8,"europe",0
"Papua New Guinea","Oceania",45286,2.6,0,"oceania",0
"Paraguay","South America",39730,55.1,-1.5,"south-america",0
"Peru","South America",128000,19,8.6,"south-america",0
"Philippines","Asia",29817,41.7,47.4,"asia",0
"Pitcairn Islands","Oceania",4.7,0,0,"oceania",0
"Poland","Europe",30619,46.9,4.7,"europe",0
"Portugal","Europe",9160.6,40.4,59.6,"europe",1
"Guinea-Bissau","Africa",2812,58,42,"africa",1
"Timor-Leste","Asia",1487,25.6,61,"asia",0
"Puerto Rico","North America",887,22.3,0,"north-america",0
"Eritrea","Africa",10100,75.2,24.8,"africa",1
"Qatar","Asia",1161,5.7,0,"asia",0
"Palau","Oceania",46,10.9,0,"oceania",0
"Zimbabwe","Africa",38685,41.9,58.1,"africa",1
"Réunion","Africa",251,19.1,0,"africa",0
"Romania","Europe",23008,60.1,15.7,"europe",0
"Rwanda","Africa",2467,73.4,26.6,"africa",1
"Russia","Europe",1637687,13.3,2.8,"europe",0
"Saint Helena, Ascension and Tristan da Cunha","Africa",39,30.8,0,"africa",0
"Saint Kitts and Nevis","North America",26,23.1,76.9,"north-america",1
"Saint Lucia","North America",61,17.4,49,"north-america",0
"Saint Pierre and Miquelon","North America",23,8.7,0,"north-america",0
"Saint Vincent and the Grenadines","North America",39,25.6,46,"north-america",0
"San Marino","Europe",6,16.7,0,"europe",0
"Sao Tome and Principe","Africa",96,50.7,20.1,"africa",0
"Saudi Arabia","Asia",214969,80.8,19.2,"asia",1
"Senegal","Africa",19253,46.1,53.9,"africa",1
"Seychelles","Africa",46,3.4,20,"africa",0
"Sierra Leone","Africa",7218,54.7,45.3,"africa",1
"Slovenia","Europe",2014,30.6,33.9,"europe",0
"Slovakia","Europe",4808.2,40,40.6,"europe",0
"Singapore","Asia",70.9,0.9,0,"asia",0
"Somalia","Africa",62734,70.3,0,"africa",0
"South Africa","Africa",121309,79.8,14.6,"africa",0
"Spain","Europe",50023.4,52.5,38.8,"europe",0
"Western Sahara","Africa",26600,18.8,0,"africa",0
"Suriname","North America",15600,0.6,0.9,"north-america",0
"Tajikistan","Asia",13878.6,34.2,65.8,"asia",1
"Eswatini","Africa",1720,71,29,"africa",1
"Swaziland","Africa",1720,71,29,"africa",1
"Sweden","Europe",40731,7.5,3.7,"europe",0
"Switzerland","Europe",3951.6,38.2,5.9,"europe",0
