"Product","Locatie","Categorie","Totopp","Percgras"
"agf","Buiten EU","Plantaardig",16.1109002812909,0
"agf","EU","Plantaardig",26.4716913001714,0
"agf","NL","Plantaardig",69.3451400512445,0
"alco","Buiten EU","Plantaardig",12.0069183737819,0
"alco","EU","Plantaardig",55.0244107134546,0
"alco","NL","Plantaardig",17.0009385655878,0
"brood & graan","Buiten EU","Plantaardig",15.0366464579324,0
"brood & graan","EU","Plantaardig",152.608489000291,0
"brood & graan","NL","Plantaardig",15.0112538308149,0
"fris","Buiten EU","Plantaardig",12.0020601187143,0
"fris","EU","Plantaardig",23.0039485608691,0
"fris","NL","Plantaardig",10.0017167655953,0
"kip & ei","Buiten EU","Dierlijk",41.1278185673238,0
"kip & ei","EU","Dierlijk",158.435584107033,0
"kip & ei","NL","Dierlijk",19.756799855877,0
"koffie","Buiten EU","Plantaardig",237.992567587291,0
"koffie","EU","Plantaardig",0,0
"koffie","NL","Plantaardig",0,0
"rundvlees","Buiten EU","Dierlijk",295.631768883959,70.5
"rundvlees","EU","Dierlijk",343.87053600117,74.6
"rundvlees","NL","Dierlijk",306.92031049194,73.7
"varkensvlees","Buiten EU","Dierlijk",63.3581505834246,0
"varkensvlees","EU","Dierlijk",261.478081772864,0
"varkensvlees","NL","Dierlijk",17.7000547661631,0
"vegi","Buiten EU","Plantaardig",35.6689437494251,0
"vegi","EU","Plantaardig",4.68452075319557,0
"vegi","NL","Plantaardig",0,0
"vet & snack","Buiten EU","Plantaardig",90.0359612656552,4.4
"vet & snack","EU","Plantaardig",145.05147169375,3.4
"vet & snack","NL","Plantaardig",38.0037066713714,18.4
"vis","Buiten EU","Dierlijk",16.6844353284307,0
"vis","EU","Dierlijk",4.99533991869183,0
"vis","NL","Dierlijk",0,0
"zoet & gebak","Buiten EU","Plantaardig",22.9967127526579,0
"zoet & gebak","EU","Plantaardig",79.9752648292483,0
"zoet & gebak","NL","Plantaardig",27.9866872468033,0
"zuivel","Buiten EU","Dierlijk",78.0030840346772,0
"zuivel","EU","Dierlijk",80.0037301780915,25
"zuivel","NL","Dierlijk",256.509905725238,79.3
